filename,title,authors,year,publication,doi,abstract,tema,subtema
Predistribution and Redistribution.pdf,"Predistribution and Redistribution: Alternative or Complementary Policies?","Evelyne Huber; John D. Stephens",2014,The Predistribution Agenda,,"Argues predistribution and redistribution are complementary, not alternative approaches. Social investment and traditional redistribution both needed.",Redistribution,Social Investment
Democracy and Autocracy_December 2022_vol 20(3).pdf,"Revisiting Capitalist Development and Democracy","Evelyne Huber; John D. Stephens",2022,Democracy and Autocracy,,"Retrospective on Capitalist Development and Democracy 30 years later. Argues fundamental arguments still hold but ongoing capitalist transformations vindicate their contention about erosion of class-party linkages.",Democracy,Capitalism
Democracy-and-Autocracy-211_June-2023.pdf,"Some Reflections on New Directions in Democracy Research","Evelyne Huber",2023,Democracy and Autocracy,,"Huber's solo essay arguing for historically grounded configurative analyses over large-N average effects, closer dialogue between quantitative and comparative historical studies.",Democracy,Methodology
Handb Comp Pol Econ ch2.pdf,"Power Resources Theory and Distributive Outcomes","Evelyne Huber; John D. Stephens",2025,Handbook of Comparative Political Economy,,"Traces PRT from 1970s origins through modifications, reviews quantitative evidence evolution, compares explanatory power to institutional and ideas-based approaches. Tests whether PRT holds in the knowledge economy.",Redistribution,Power Resources Theory
Huber and Stephens ch05_5330.pdf,"Successful Social Policy Regimes? Political Economy, Politics, and Social Policy in Argentina, Chile, Uruguay, and Costa Rica","Evelyne Huber; John D. Stephens",2009,Democratic Governance in Latin America,,"Comparative analysis of the four most advanced social policy regimes in LA. State capacity to design, fund, and implement social policy is a key differentiator.",Welfare State,Latin America
machtei-et-al-2025-goodbye-to-meltzer-richard-testing-major-theories-of-redistribution.pdf,"Goodbye to Meltzer-Richard: Testing Major Theories of Redistribution","Itay Machtei; Evelyne Huber; John D Stephens",2025,Journal of European Social Policy,10.1177/09589287241311117,"Re-analyzes four major redistribution theories using comprehensive 589 country-year dataset 1963-2019. Finds partisan governments and welfare generosity are directly related to redistribution. Refutes Meltzer-Richard model.",Redistribution,Power Resources Theory
Huber&Stephens-1stPages-012624.pdf,"Challenging Inequality: Variation across Postindustrial Societies","Evelyne Huber; John D. Stephens",2024,University of Chicago Press,10.7208/chicago/9780226834641,"Full book analyzing how welfare state generosity remains the most important factor shaping redistribution in 22 postindustrial countries. Statistical + comparative historical analysis of Germany, Spain, Sweden, US.",Inequality,Advanced Democracies
HSA chapter of European+Social+Model.pdf,"The European Social Model under Pressure","Evelyne Huber; John D. Stephens; Dragos Adascalitei",2020,The European Social Model under Pressure,,"Chapter analyzing pressures on the European social model from globalization, deindustrialization, and austerity.",Welfare State,Europe
EHJDS_Predistribution_final 2.docx,"Predistribution and Redistribution Working Paper","Evelyne Huber; John D. Stephens",2014,Working Paper,,"Working paper version of the predistribution/redistribution argument.",Redistribution,Social Investment
Capitalist Development & Democracy.pdf,"Capitalist Development and Democracy (Latin America chapter)","Dietrich Rueschemeyer; Evelyne Huber Stephens; John D. Stephens",1992,Capitalist Development and Democracy,,"Latin America chapter from the landmark 1992 book establishing the three power clusters framework: class power, transnational power, state power.",Democracy,Class Power
EBSCO-FullText-03_25_2026.pdf,"The Bourgeoisie and Democracy: Historical and Contemporary Perspectives","Evelyne Huber; John D. Stephens",1999,Social Research,,"Examines the historical role of the bourgeoisie in creating and maintaining political democracy, challenging the liberal view that the bourgeoisie was the main agent of democratization.",Democracy,Class Power
JP 10 capitalist development and democracy the controvercy.pdf,"Capitalist Development and Democracy: The Controversy","Dietrich Rueschemeyer; Evelyne Huber; John D. Stephens",1997,Unpublished Chapter,,"Methodological chapter discussing the controversy between comparative historical and cross-national statistical approaches to studying capitalist development and democracy.",Democracy,Methodology
huber-stephens-1998-internationalization-and-the-social-democratic-model.pdf,"Internationalization and the Social Democratic Model: Crisis and Future Prospects","Evelyne Huber; John D. Stephens",1998,Comparative Political Studies,10.1177/0010414098031003004,"Analyzes whether globalization undermines the social democratic welfare state model. Examines state's capacity to sustain generous social provisions under economic internationalization.",Welfare State,Globalization
huber-stephens-2000-partisan-governance-women-s-employment-and-the-social-democratic-service-state.pdf,"Partisan Governance, Women's Employment, and the Social Democratic Service State","Evelyne Huber; John D. Stephens",2000,American Sociological Review,10.1177/000312240006500301,"Introduces the concept of the social democratic service state — state as direct PROVIDER of welfare services. Feedback loop: public services → women's employment → demand for more services.",Welfare State,Service State
10.7208_9780226356495-003.pdf,"Introduction (Development and Crisis of the Welfare State)","Evelyne Huber; John D. Stephens",2001,Development and Crisis of the Welfare State,10.7208/9780226356495-003,"Introduction to the landmark book on welfare state development. Partisan politics is the single most important factor shaping welfare state variation.",Welfare State,Partisan Effects
10.7208_9780226356495-004.pdf,"Theoretical Framework and Methodological Approach","Evelyne Huber; John D. Stephens",2001,Development and Crisis of the Welfare State,10.7208/9780226356495-004,"Theoretical chapter elaborating the power resources framework, production regimes, and constitutional structure as determinants of welfare state development.",Welfare State,Theory
10.7208_9780226356495-009.pdf,"The Politics of Welfare States after the Golden Age: A Comparative Historical Analysis","Evelyne Huber; John D. Stephens",2001,Development and Crisis of the Welfare State,10.7208/9780226356495-009,"Analyzes retrenchment and adaptation of welfare states in the post-Golden Age era. Examines vulnerability of different program types.",Welfare State,Retrenchment
10.7208_9780226356495-010.pdf,"Conclusion (Development and Crisis of the Welfare State)","Evelyne Huber; John D. Stephens",2001,Development and Crisis of the Welfare State,10.7208/9780226356495-010,"Conclusion summarizing partisan effects on welfare state development. Social democratic vs. Christian democratic vs. liberal welfare state configurations.",Welfare State,Partisan Effects
